Code_Year_Month,Postal_Code,Customer_Class,Total_Gallons,
15-06-16,78747,Residential,19491700,
14-03-15,78747,Irrigation - Multi-Family,121700,
28-04-18,78747,Multi-Family,6615300,
12-12-09,78748,Irrigation - Residential,6000,
21-02-12,78748,Multi-Family,14166100,
22-04-09,78748,Residential,57795500,
15-01-15,78748,Irrigation - Multi-Family,1935200,
09-11-14,78749,Irrigation - Multi-Family,3717400,
10-05-11,78749,Residential,53199200,
06-05-19,78749,Irrigation - Residential,1300,
05-01-13,78749,Multi-Family,17588100,
18-11-13,78750,Residential,39764200,
14-10-13,78750,Irrigation - Residential,,
22-05-13,78750,Irrigation - Multi-Family,556300,
15-12-10,78750,Multi-Family,13470100,
25-05-10,78751,Irrigation - Multi-Family,249000,
16-07-11,78751,Multi-Family,13183600,
01-01-14,78751,Irrigation - Residential,42200,
14-12-09,78751,Residential,14879000,
12-06-18,78752,Irrigation - Multi-Family,52900,
11-12-16,78752,Multi-Family,18839300,
18-10-16,78752,Residential,11916600,
26-07-10,78753,Multi-Family,43224900,
02-07-12,78753,Irrigation - Residential,,
29-09-12,78753,Residential,39024200,
11-03-15,78753,Irrigation - Multi-Family,2237200,
31-03-17,78754,Multi-Family,13797100,
05-04-14,78754,Residential,17006300,
30-10-12,78754,Irrigation - Residential,,
24-02-11,78754,Irrigation - Multi-Family,909700,
06-06-19,78756,Multi-Family,6668700,
29-06-15,78756,Irrigation - Residential,2100,
17-11-13,78756,Residential,9627500,
16-10-10,78756,Irrigation - Multi-Family,55800,
20-10-18,78757,Residential,29137800,
15-12-09,78757,Irrigation - Residential,56400,
13-04-18,78757,Irrigation - Multi-Family,32200,
18-12-19,78757,Multi-Family,14223700,
01-06-14,78758,Residential,38041300,
09-08-10,78758,Irrigation - Multi-Family,1046100,
03-11-14,78758,Irrigation - Residential,,
07-03-12,78758,Multi-Family,49231300,
14-06-11,78759,Multi-Family,32077100,
13-01-11,78759,Irrigation - Multi-Family,632100,
01-10-13,78759,Irrigation - Residential,34900,
19-04-16,78759,Residential,48470400,
06-03-11,78613,Multi-Family,25500,
16-10-17,78613,Irrigation - Multi-Family,58000,
13-07-11,78617,Multi-Family,1909300,
09-03-15,78617,Residential,18598700,
17-11-15,78652,Irrigation - Residential,19500,
27-05-11,78652,Multi-Family,313900,
23-06-10,78652,Residential,797700,
02-03-14,78653,Multi-Family,134300,
12-03-17,78653,Residential,1998800,
22-12-08,78660,Irrigation - Residential,12900,
24-10-17,78660,Multi-Family,2790400,
19-06-10,78660,Residential,7749100,
01-05-12,78701,Irrigation - Multi-Family,168200,
14-02-18,78701,Multi-Family,12280500,
10-03-17,78701,Residential,1116900,
22-11-19,78702,Irrigation - Multi-Family,469300,
07-10-10,78702,Irrigation - Residential,37100,
24-09-16,78702,Multi-Family,8541600,
09-12-12,78702,Residential,26553700,
22-03-10,78703,Irrigation - Multi-Family,357300,
10-10-10,78703,Irrigation - Residential,1041600,
06-04-18,78703,Multi-Family,13368800,
07-07-15,78703,Residential,47006200,
10-11-19,78704,Multi-Family,44992300,
26-11-09,78704,Residential,43624800,
15-10-09,78704,Irrigation - Multi-Family,770100,
15-07-09,78704,Irrigation - Residential,162400,
25-12-19,78705,Residential,9358300,
03-06-17,78705,Irrigation - Multi-Family,360800,
26-10-14,78705,Irrigation - Residential,42700,
22-05-10,78705,Multi-Family,30669400,
12-01-11,78717,Multi-Family,7178500,
01-08-18,78717,Irrigation - Multi-Family,2160500,
10-03-13,78717,Residential,37056200,
30-08-17,78717,Irrigation - Residential,9400,
20-06-18,78719,Residential,1472900,
09-04-15,78719,Multi-Family,583800,
10-08-09,78721,Multi-Family,4236300,
10-04-19,78721,Residential,15044600,
29-09-11,78721,Irrigation - Multi-Family,,
20-07-17,78721,Irrigation - Residential,1900,
16-07-09,78722,Irrigation - Multi-Family,32900,
26-06-11,78722,Multi-Family,2780700,
01-03-10,78722,Residential,8168500,
04-04-09,78723,Irrigation - Multi-Family,129000,
12-05-15,78723,Multi-Family,19670700,
15-04-17,78723,Residential,33819500,
20-04-11,78724,Irrigation - Residential,32000,
31-05-10,78724,Multi-Family,10912100,
